Time,Datapoint
2013-08-28 0:6:48,62.5,0
2013-08-28 0:6:49,65.2174,0
2013-08-28 0:6:50,67.4157,0
2013-08-28 0:6:51,71.4286,0
2013-08-28 0:6:51,73.1707,0
2013-08-28 0:6:52,75.9494,0
2013-08-28 0:6:53,75.9494,0
2013-08-28 0:6:54,75,0
2013-08-28 0:6:55,75,0
2013-08-28 0:6:55,74.0741,0
2013-08-28 0:6:56,75.9494,0
2013-08-28 0:6:57,72.2892,0
2013-08-28 0:6:58,69.7674,0
2013-08-28 0:6:59,71.4286,0
2013-08-28 0:6:59,73.1707,0
2013-08-28 0:7:0,75,0
2013-08-28 0:7:1,75,0
2013-08-28 0:7:2,80,0
2013-08-28 0:7:3,80,0
2013-08-28 0:7:3,78.9474,0
2013-08-28 0:7:4,77.9221,0
2013-08-28 0:7:5,74.0741,0
2013-08-28 0:7:6,71.4286,0
2013-08-28 0:7:7,75.9494,0
2013-08-28 0:7:7,76.9231,0
2013-08-28 0:7:8,78.9474,0
2013-08-28 0:7:9,81.0811,0
2013-08-28 0:7:10,83.3333,0
2013-08-28 0:7:10,85.7143,0
2013-08-28 0:7:11,86.9565,0
2013-08-28 0:7:12,86.9565,0
2013-08-28 0:7:12,89.5522,0
2013-08-28 0:7:13,90.9091,0
2013-08-28 0:7:14,92.3077,0
2013-08-28 0:7:14,90.9091,0
2013-08-28 0:7:15,92.3077,0
2013-08-28 0:7:16,92.3077,0
2013-08-28 0:7:16,92.3077,0
2013-08-28 0:7:17,89.5522,0
2013-08-28 0:7:18,83.3333,0
2013-08-28 0:7:18,82.1918,0
2013-08-28 0:7:19,83.3333,0
2013-08-28 0:7:20,82.1918,0
2013-08-28 0:7:21,83.3333,0
2013-08-28 0:7:21,85.7143,0
2013-08-28 0:7:22,86.9565,0
2013-08-28 0:7:23,88.2353,0
2013-08-28 0:7:23,89.5522,0
2013-08-28 0:7:24,86.9565,0
2013-08-28 0:7:25,85.7143,0
2013-08-28 0:7:25,82.1918,0
2013-08-28 0:7:26,83.3333,0
2013-08-28 0:7:27,84.507,0
2013-08-28 0:7:28,84.507,0
2013-08-28 0:7:28,84.507,0
2013-08-28 0:7:29,81.0811,0
2013-08-28 0:7:30,78.9474,0
2013-08-28 0:7:31,78.9474,0
2013-08-28 0:7:31,80,0
2013-08-28 0:7:32,80,0
2013-08-28 0:7:33,81.0811,0
2013-08-28 0:7:34,78.9474,0
2013-08-28 0:7:34,77.9221,0
2013-08-28 0:7:35,78.9474,0
2013-08-28 0:7:36,75.9494,0
2013-08-28 0:7:37,78.9474,0
2013-08-28 0:7:37,78.9474,0
2013-08-28 0:7:38,81.0811,0
2013-08-28 0:7:39,82.1918,0
2013-08-28 0:7:40,84.507,0
2013-08-28 0:7:40,83.3333,0
2013-08-28 0:7:41,82.1918,0
2013-08-28 0:7:42,81.0811,0
2013-08-28 0:7:43,77.9221,0
2013-08-28 0:7:43,77.9221,0
2013-08-28 0:7:44,78.9474,0
2013-08-28 0:7:45,80,0
2013-08-28 0:7:46,82.1918,0
2013-08-28 0:7:46,83.3333,0
2013-08-28 0:7:47,84.507,0
2013-08-28 0:7:48,84.507,0
2013-08-28 0:7:48,83.3333,0
2013-08-28 0:7:49,85.7143,0
2013-08-28 0:7:50,84.507,0
2013-08-28 0:7:51,84.507,0
2013-08-28 0:7:51,86.9565,0
2013-08-28 0:7:52,88.2353,0
2013-08-28 0:7:53,86.9565,0
2013-08-28 0:7:53,86.9565,0
2013-08-28 0:7:54,86.9565,0
2013-08-28 0:7:55,88.2353,0
2013-08-28 0:7:55,86.9565,0
2013-08-28 0:7:56,88.2353,0
2013-08-28 0:7:57,89.5522,0
2013-08-28 0:7:57,90.9091,0
2013-08-28 0:7:58,90.9091,0
2013-08-28 0:7:59,90.9091,0
2013-08-28 0:7:59,90.9091,0
2013-08-28 0:8:0,92.3077,0
2013-08-28 0:8:1,93.75,0
2013-08-28 0:8:1,92.3077,0
2013-08-28 0:8:2,95.2381,0
2013-08-28 0:8:3,95.2381,0
2013-08-28 0:8:3,93.75,0
2013-08-28 0:8:4,92.3077,0
